DateTime,No.,Longitude,Latitude,Serving RSRP_All Logs,Serving RSRQ_All Logs,Serving RSSI_All Logs,Serving PCC SINR_All Logs,Serving DL EARFCN_All Logs,PCC PHY Throughput DL_All Logs,PDCP Throughput DL_All Logs
2017-04-01 12:22:57.500 ,3,3.36692891 ,6.55668426 ,-70.77,-8.66,-48.02,7.83,1876,8737.41,7204.2
2017-04-01 12:22:58.500 ,4,3.36692833 ,6.55674500 ,-72.4,-10.56,-47.17,4.95,1876,6969.09,5073.57
2017-04-01 12:22:59.500 ,5,3.36692536 ,6.55695507 ,-71.32,-10.13,-47.11,5.65,1876,3874.06,2846.46
2017-04-01 12:23:00.500 ,6,3.36692243 ,6.55719448 ,-69.92,-9.62,-46.18,6.95,1876,5575.82,5308.1
2017-04-01 12:23:01.500 ,7,3.36691940 ,6.55739511 ,-72.43,-10.3,-47.74,4.28,1876,6114.99,3678.47
2017-04-01 12:23:02.500 ,8,3.36691741 ,6.55754816 ,-68.54,-9.76,-44.54,8.24,1876,2498.54,3873.23
2017-04-01 12:23:03.500 ,9,3.36691667 ,6.55762667 ,-66.55,-8.61,-43.72,11.26,1876,7904.68,8240.96
2017-04-01 12:23:04.500 ,10,3.36691358 ,6.55778714 ,-67.85,-9.51,-44.08,9.38,1876,8380.01,6571.02
2017-04-01 12:23:05.500 ,11,3.36690842 ,6.55805610 ,-67.97,-9.35,-44.36,9.82,1876,8674.93,6838.21
2017-04-01 12:23:06.500 ,12,3.36690580 ,6.55823981 ,-77.04,-11.89,-50.37,1.46,1876,6563.22,3202.8
2017-04-01 12:23:07.500 ,13,3.36690423 ,6.55840363 ,-76.67,-10.02,-52.24,2.75,1876,1554.75,1206.31
2017-04-01 12:23:08.500 ,14,3.36690333 ,6.55849667 ,-75.83,-9.92,-51.84,5.35,1876,4816.22,5167.7
2017-04-01 12:23:09.500 ,15,3.36690517 ,6.55869090 ,-77.38,-11.62,-51.41,-0.3,1876,4897.7,2234.3
2017-04-01 12:23:10.500 ,16,3.36690667 ,6.55893197 ,-72.19,-9.11,-48.82,5.86,1876,2658.24,4586.64
2017-04-01 12:23:11.500 ,17,3.36690511 ,6.55910271 ,-69.87,-7.98,-47.25,9.93,1876,6652.67,6137.42
2017-04-01 12:23:12.500 ,18,3.36690125 ,6.55925926 ,-72.55,-9.0,-49.36,8.43,1876,8312.41,6907.9
2017-04-01 12:23:13.500 ,19,3.36689833 ,6.55935167 ,-70.34,-8.94,-47.12,10.2,1876,6022.93,5561.74
2017-04-01 12:23:14.500 ,20,3.36689677 ,6.55948574 ,-66.64,-8.48,-44.13,13.35,1876,8479.56,8910.39
2017-04-01 12:23:15.500 ,21,3.36689500 ,6.55968337 ,-64.57,-8.89,-41.65,13.31,1876,11027.32,10170.67
